Habitat,Sex,Area,Green,Month,Binomial_Habitat
Fucus,F,0.375,137.59,July,0
Fucus,M,0.709,102.53,July,0
Fucus,F,0.344,117.06,July,0
Fucus,F,0.367,155.59,July,0
Fucus,F,0.356,140.77,July,0
Fucus,F,0.339,111.05,July,0
Fucus,M,0.388,122.45,July,0
Fucus,F,0.419,93.8,July,0
Fucus,M,0.215,117.47,July,0
Fucus,F,0.445,125.43,July,0
Fucus,F,0.468,137.38,July,0
Fucus,F,0.364,98.97,July,0
Fucus,F,0.28,122.12,July,0
Fucus,F,0.26,116.97,July,0
Fucus,F,0.398,101.65,July,0
Fucus,F,0.573,141.22,July,0
Fucus,M,0.222,114.28,July,0
Fucus,M,0.292,95.76,July,0
Fucus,F,0.266,119.02,July,0
Fucus,M,0.772,101.67,July,0
Fucus,F,0.313,124.95,July,0
Fucus,F,0.394,132.99,July,0
Fucus,M,0.094,82.29,July,0
Fucus,U,0.012,82.93,July,0
Fucus,M,0.068,79.61,July,0
Fucus,U,0.024,101.38,July,0
Fucus,M,0.029,118.14,July,0
Fucus,U,0.021,102.16,July,0
Fucus,U,0.014,109.08,July,0
Fucus,U,0.051,60.9,July,0
Fucus,U,0.06,132.42,July,0
Fucus,F,0.381,98.18,July,0
Fucus,M,0.245,137.41,July,0
Fucus,M,0.13,145.14,August,0
Fucus,M,0.184,89.98,August,0
Fucus,F,0.3,135.42,August,0
Fucus,M,0.274,127.49,August,0
Eelgrass,F,0.076,102.53,August,1
Eelgrass,M,0.101,99.95,August,1
Eelgrass,M,0.311,63.14,August,1
Eelgrass,M,0.184,105.93,August,1
Eelgrass,M,0.168,92.21,August,1
Eelgrass,M,0.15,90.99,August,1
Eelgrass,M,0.052,77.31,August,1
Eelgrass,M,0.162,102.9,August,1
Eelgrass,M,0.121,110.15,August,1
Eelgrass,M,0.162,87.8,August,1
Eelgrass,M,0.071,127.06,August,1
Eelgrass,M,0.26,76.81,August,1
Eelgrass,M,0.206,109.56,August,1
Eelgrass,F,0.224,165.98,August,1
Eelgrass,M,0.367,143.16,August,1
Eelgrass,M,0.207,123.59,August,1
Eelgrass,M,0.185,128.53,August,1
Eelgrass,M,0.055,166.3,August,1
