Isopod_ID,Isopod_Color,Field_Habitat,Trial_Type,Date_of_Collection,Area (cmsq),BAFU_sum,BASU_sum,GAFU_sum,GASU_sum,SW_sum,SB_sum,TW_sum,Drain_sum,total_time,BAFU_prop,BASU_prop,GAFU_prop,GASU_prop,SW_prop,SB_prop,TW_prop,Drain_prop
BR88,Brown,Fucus,BASU/GAFU,Mid June,0.314,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR89,Brown,Fucus,BASU/GAFU,Early July,0.388,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR9,Brown,Eelgrass,BASU/BAFU,Late April,0.505,1,0,0,0,1,0,1,1,4,0.25,0,0,0,0.25,0,0.25,0.25
BR90,Brown,Fucus,BASU/GAFU,Early July,0.473,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR91,Brown,Fucus,BASU/GAFU,Early May,0.279,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR92,Brown,Fucus,BASU/GAFU,Mid June,0.31,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
BR93,Brown,Fucus,BASU/GAFU,Mid June,0.343,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
BR94,Brown,Fucus,BASU/GAFU,Mid June,0.307,0,1,3,0,0,0,0,0,4,0,0.25,0.75,0,0,0,0,0
BR95,Brown,Fucus,BASU/GAFU,Early July,0.203,0,2,0,0,2,0,0,0,4,0,0.5,0,0,0.5,0,0,0
BR96,Brown,Fucus,BASU/GAFU,Early July,0.351,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR97,Brown,Fucus,BASU/GAFU,Early May,0.32,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
BR98,Brown,Fucus,BASU/GAFU,Early May,0.276,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
BR99,Brown,Eelgrass,BASU/BAFU,Early August,0.259,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR10,Green,Eelgrass,GASU/GAFU,Late April,0.497,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
GR100,Green,Eelgrass,GASU/GAFU,Early August,0.37,0,0,0,3,0,0,1,0,4,0,0,0,0.75,0,0,0.25,0
GR101,Green,Eelgrass,BASU/BAFU,Early August,0.274,3,1,0,0,0,0,0,0,4,0.75,0.25,0,0,0,0,0,0
GR102,Green,Eelgrass,BASU/BAFU,Early August,0.208,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR103,Green,Eelgrass,GASU/GAFU,Early August,0.304,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR104,Green,Eelgrass,GASU/GAFU,Early August,0.347,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
GR105,Green,Eelgrass,BASU/BAFU,Early May,0.215,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
GR106,Green,Eelgrass,BASU/BAFU,Early May,0.237,0,3,0,0,0,0,1,0,4,0,0.75,0,0,0,0,0.25,0
GR107,Green,Eelgrass,GASU/GAFU,Early May,0.337,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
GR108,Green,Eelgrass,GASU/GAFU,Early May,0.356,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR109,Green,Eelgrass,BASU/BAFU,Early July,0.43,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1
GR11,Green,Eelgrass,BASU/BAFU,Late April,0.779,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR110,Green,Eelgrass,BASU/BAFU,Early July,0.219,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR111,Green,Eelgrass,GASU/GAFU,Mid June,0.163,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0.75,0.25,0
GR112,Green,Eelgrass,GASU/GAFU,Mid June,0.417,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR113,Green,Eelgrass,BASU/BAFU,Mid June,0.238,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR114,Green,Eelgrass,BASU/BAFU,Early May,0.292,2,2,0,0,0,0,0,0,4,0.5,0.5,0,0,0,0,0,0
GR115,Green,Eelgrass,GASU/GAFU,Early May,0.32,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR116,Green,Eelgrass,GASU/GAFU,Early May,0.414,0,0,0,2,0,0,2,0,4,0,0,0,0.5,0,0,0.5,0
GR117,Green,Eelgrass,BASU/BAFU,Mid June,0.205,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR118,Green,Eelgrass,BASU/BAFU,Early May,0.333,2,1,0,0,0,0,1,0,4,0.5,0.25,0,0,0,0,0.25,0
GR119,Green,Eelgrass,GASU/GAFU,Early August,0.212,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR12,Green,Eelgrass,BASU/BAFU,Late April,1.464,0,2,0,0,2,0,0,0,4,0,0.5,0,0,0.5,0,0,0
GR120,Green,Eelgrass,GASU/GAFU,Early May,0.173,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR121,Green,Eelgrass,BASU/BAFU,Early May,0.137,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR122,Green,Eelgrass,BASU/BAFU,Mid June,0.262,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR13,Green,Eelgrass,GASU/GAFU,Late April,0.555,0,0,0,0,1,1,2,0,4,0,0,0,0,0.25,0.25,0.5,0
GR14,Green,Eelgrass,GASU/GAFU,Late April,0.403,0,0,0,1,1,1,1,0,4,0,0,0,0.25,0.25,0.25,0.25,0
GR15,Green,Eelgrass,BASU/BAFU,Early May,0.376,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR16,Green,Eelgrass,BASU/BAFU,Early May,0.526,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR17,Green,Eelgrass,GASU/GAFU,Early May,0.475,0,0,0,3,1,0,0,0,4,0,0,0,0.75,0.25,0,0,0
GR18,Green,Eelgrass,GASU/GAFU,Early May,0.658,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0
GR19,Green,Eelgrass,BASU/BAFU,Early May,0.299,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR20,Green,Eelgrass,BASU/BAFU,Early May,0.504,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR21,Green,Fucus,GASU/GAFU,Early May,0.458,0,0,1,3,0,0,0,0,4,0,0,0.25,0.75,0,0,0,0
GR22,Green,Fucus,GASU/GAFU,Early May,0.793,0,0,1,3,0,0,0,0,4,0,0,0.25,0.75,0,0,0,0
GR23,Green,Fucus,BASU/BAFU,Early May,0.603,1,1,0,0,0,0,1,0,3,0.333333333,0.333333333,0,0,0,0,0.333333333,0
GR23B,Green,Eelgrass,GASU/GAFU,Early May,0.781,0,0,0,2,1,0,1,0,4,0,0,0,0.5,0.25,0,0.25,0
GR24,Green,Fucus,BASU/BAFU,Early May,0.644,0,2,0,0,0,1,0,0,3,0,0.666666667,0,0,0,0.333333333,0,0
GR24B,Green,Eelgrass,GASU/GAFU,Early May,0.532,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR25,Green,Fucus,GASU/GAFU,Early May,1.102,0,0,1,1,2,0,0,0,4,0,0,0.25,0.25,0.5,0,0,0
GR26,Green,Fucus,GASU/GAFU,Early May,1.084,0,0,0,3,0,1,0,0,4,0,0,0,0.75,0,0.25,0,0
GR27,Green,Fucus,BASU/BAFU,Mid June,0.301,0,3,0,0,1,0,0,0,4,0,0.75,0,0,0.25,0,0,0
GR28,Green,Fucus,BASU/BAFU,Mid June,0.202,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0
GR29,Green,Fucus,GASU/GAFU,Mid June,0.26,0,0,1,3,0,0,0,0,4,0,0,0.25,0.75,0,0,0,0
GR3,Green,Eelgrass,BASU/BAFU,Late April,1.652,0,2,0,0,0,1,1,0,4,0,0.5,0,0,0,0.25,0.25,0
GR30,Green,Fucus,GASU/GAFU,Mid June,0.411,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR31,Green,Fucus,BASU/BAFU,Mid June,1.464,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR32,Green,Fucus,BASU/BAFU,Mid June,0.43,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR33,Green,Fucus,GASU/GAFU,Mid June,0.596,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR34,Green,Fucus,GASU/GAFU,Mid June,0.45,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR35,Green,Fucus,BASU/BAFU,Mid June,1.43,3,0,0,0,0,1,0,0,4,0.75,0,0,0,0,0.25,0,0
GR36,Green,Fucus,BASU/BAFU,Mid June,1.312,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR37,Green,Fucus,GASU/GAFU,Mid June,0.584,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR38,Green,Fucus,GASU/GAFU,Mid June,0.261,0,0,0,3,0,0,0,1,4,0,0,0,0.75,0,0,0,0.25
GR39,Green,Fucus,BASU/BAFU,Mid June,0.265,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
GR4,Green,Eelgrass,BASU/BAFU,Late April,1.1,2,1,0,0,1,0,0,0,4,0.5,0.25,0,0,0.25,0,0,0
GR40,Green,Fucus,BASU/BAFU,Mid June,0.26,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR41,Green,Fucus,GASU/GAFU,Mid June,0.821,0,0,3,1,0,0,0,0,4,0,0,0.75,0.25,0,0,0,0
GR42,Green,Fucus,GASU/GAFU,Mid June,1.146,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR43,Green,Fucus,BASU/BAFU,Early July,1.151,1,3,0,0,0,0,0,0,4,0.25,0.75,0,0,0,0,0,0
GR44,Green,Fucus,BASU/BAFU,Early July,0.376,1,2,0,0,0,0,1,0,4,0.25,0.5,0,0,0,0,0.25,0
GR45,Green,Fucus,GASU/GAFU,Mid June,0.821,0,0,0,3,0,0,1,0,4,0,0,0,0.75,0,0,0.25,0
GR46,Green,Fucus,GASU/GAFU,Mid June,0.452,0,0,1,3,0,0,0,0,4,0,0,0.25,0.75,0,0,0,0
GR47,Green,Fucus,BASU/BAFU,Early May,0.471,1,2,0,0,1,0,0,0,4,0.25,0.5,0,0,0.25,0,0,0
GR48,Green,Fucus,BASU/BAFU,Early May,0.686,0,3,0,0,1,0,0,0,4,0,0.75,0,0,0.25,0,0,0
GR49,Green,Eelgrass,BASU/BAFU,Early July,1.148,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR5,Green,Eelgrass,GASU/GAFU,Late April,1.376,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR50,Green,Eelgrass,BASU/BAFU,Early July,0.188,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR51,Green,Eelgrass,BASU/GAFU,Mid June,0.25,0,3,0,0,0,0,1,0,4,0,0.75,0,0,0,0,0.25,0
GR52,Green,Eelgrass,BASU/GAFU,Mid June,0.41,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR53,Green,Fucus,BASU/GAFU,Early July,0.826,0,3,1,0,0,0,0,0,4,0,0.75,0.25,0,0,0,0,0
GR54,Green,Fucus,BASU/GAFU,Early July,0.398,0,2,2,0,0,0,0,0,4,0,0.5,0.5,0,0,0,0,0
GR55,Green,Eelgrass,BASU/GAFU,Mid June,0.564,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR56,Green,Eelgrass,BASU/GAFU,Mid June,0.482,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR57,Green,Fucus,BASU/GAFU,Mid June,0.701,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR58,Green,Fucus,BASU/GAFU,Mid June,0.812,0,2,1,0,1,0,0,0,4,0,0.5,0.25,0,0.25,0,0,0
GR59,Green,Eelgrass,BASU/GAFU,Mid June,0.34,0,1,3,0,0,0,0,0,4,0,0.25,0.75,0,0,0,0,0
GR6,Green,Eelgrass,GASU/GAFU,Late April,1.091,0,0,0,1,1,0,1,1,4,0,0,0,0.25,0.25,0,0.25,0.25
GR60,Green,Eelgrass,BASU/GAFU,Mid June,0.205,0,3,0,0,1,0,0,0,4,0,0.75,0,0,0.25,0,0,0
GR61,Green,Fucus,BASU/GAFU,Mid June,0.582,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
