Isopod_ID,Isopod_Color,Field_Habitat,Trial_Type,Date_of_Collection,Area (cmsq),BASU_new,BAFU_new,GASU_new,GAFU_new,Prop_Field_Match
BR20,Brown,Eelgrass,GASU/GAFU,Early May,0.24,0.005,0.005,0.25,0.005,0.25
BR21,Brown,Fucus,BASU/BAFU,Early May,0.417,0.995,0.005,0.005,0.005,0.995
BR22,Brown,Fucus,BASU/BAFU,Early May,0.314,0.25,0.75,0.005,0.005,0.75
BR23,Brown,Fucus,GASU/GAFU,Early May,0.376,0.005,0.005,0.005,0.995,0.995
BR23B,Brown,Eelgrass,BASU/BAFU,Early May,0.345,0.995,0.005,0.005,0.005,0.995
BR24,Brown,Fucus,GASU/GAFU,Early May,0.57,0.005,0.005,0.75,0.005,0.005
BR24B,Brown,Eelgrass,BASU/BAFU,Early May,0.399,0.25,0.005,0.005,0.005,0.25
BR25,Brown,Fucus,BASU/BAFU,Early May,0.448,0.005,0.995,0.005,0.005,0.995
BR26,Brown,Fucus,BASU/BAFU,Early May,0.378,0.5,0.25,0.005,0.005,0.25
BR27,Brown,Fucus,GASU/GAFU,Mid June,0.507,0.005,0.005,0.5,0.5,0.5
BR28,Brown,Fucus,GASU/GAFU,Mid June,0.387,0.005,0.005,0.75,0.005,0.75
BR29,Brown,Fucus,BASU/BAFU,Mid June,0.269,0.995,0.005,0.005,0.005,0.005
BR3,Brown,Eelgrass,GASU/GAFU,Late April,0.491,0.005,0.005,0.75,0.005,0.75
BR30,Brown,Fucus,BASU/BAFU,Mid June,0.672,0.995,0.005,0.005,0.005,0.995
BR31,Brown,Fucus,GASU/GAFU,Mid June,0.457,0.005,0.005,0.005,0.005,0.005
BR32,Brown,Fucus,GASU/GAFU,Mid June,0.347,0.005,0.005,0.25,0.005,0.25
BR33,Brown,Fucus,BASU/BAFU,Mid June,0.289,0.666666667,0.005,0.005,0.005,0.005
BR34,Brown,Fucus,BASU/BAFU,Mid June,0.33,0.75,0.005,0.005,0.005,0.75
BR35,Brown,Fucus,GASU/GAFU,Mid June,0.481,0.005,0.005,0.75,0.005,0.75
BR36,Brown,Fucus,GASU/GAFU,Mid June,1.496,0.005,0.005,0.995,0.005,0.005
BR37,Brown,Fucus,BASU/BAFU,Mid June,0.32,0.75,0.005,0.005,0.005,0.005
BR38,Brown,Fucus,BASU/BAFU,Mid June,0.33,0.995,0.005,0.005,0.005,0.995
BR39,Brown,Fucus,GASU/GAFU,Mid June,0.33,0.005,0.005,0.995,0.005,0.005
BR4,Brown,Eelgrass,GASU/GAFU,Late April,1.512,0.005,0.005,0.75,0.005,0.75
BR40,Brown,Fucus,GASU/GAFU,Mid June,0.464,0.005,0.005,0.005,0.75,0.75
BR41,Brown,Fucus,BASU/BAFU,Mid June,0.391,0.5,0.005,0.005,0.005,0.5
BR42,Brown,Fucus,BASU/BAFU,Mid June,0.447,0.995,0.005,0.005,0.005,0.005
BR43,Brown,Fucus,GASU/GAFU,Early July,0.628,0.005,0.005,0.005,0.995,0.995
BR44,Brown,Fucus,GASU/GAFU,Early July,0.376,0.005,0.005,0.5,0.25,0.25
BR45,Brown,Fucus,BASU/BAFU,Mid June,1.685,0.5,0.005,0.005,0.005,0.005
BR46,Brown,Fucus,BASU/BAFU,Mid June,0.315,0.005,0.995,0.005,0.005,0.995
BR47,Brown,Fucus,GASU/GAFU,Early May,0.497,0.005,0.005,0.75,0.005,0.005
BR48,Brown,Fucus,GASU/GAFU,Early May,0.323,0.005,0.005,0.005,0.995,0.995
BR49,Brown,Eelgrass,GASU/GAFU,Early July,1.462,0.005,0.005,0.25,0.5,0.25
BR5,Brown,Eelgrass,BASU/BAFU,Late April,0.309,0.75,0.005,0.005,0.005,0.75
BR50,Brown,Eelgrass,GASU/GAFU,Early July,0.409,0.005,0.005,0.005,0.995,0.995
BR6,Brown,Eelgrass,BASU/BAFU,Late April,0.294,0.75,0.005,0.005,0.005,0.75
BR7,Brown,Eelgrass,GASU/GAFU,Late April,0.261,0.005,0.005,0.995,0.005,0.995
BR8,Brown,Eelgrass,GASU/GAFU,Late April,0.294,0.005,0.005,0.75,0.005,0.75
BR9,Brown,Eelgrass,BASU/BAFU,Late April,0.505,0.005,0.25,0.005,0.005,0.005
BR99,Brown,Eelgrass,BASU/BAFU,Early August,0.259,0.995,0.005,0.005,0.005,0.995
GR10,Green,Eelgrass,GASU/GAFU,Late April,0.497,0.005,0.005,0.005,0.005,0.005
GR100,Green,Eelgrass,GASU/GAFU,Early August,0.37,0.005,0.005,0.75,0.005,0.75
GR101,Green,Eelgrass,BASU/BAFU,Early August,0.274,0.25,0.75,0.005,0.005,0.25
GR102,Green,Eelgrass,BASU/BAFU,Early August,0.208,0.995,0.005,0.005,0.005,0.995
GR103,Green,Eelgrass,GASU/GAFU,Early August,0.304,0.005,0.005,0.995,0.005,0.995
GR104,Green,Eelgrass,GASU/GAFU,Early August,0.347,0.005,0.005,0.005,0.005,0.005
GR105,Green,Eelgrass,BASU/BAFU,Early May,0.215,0.75,0.005,0.005,0.005,0.75
GR106,Green,Eelgrass,BASU/BAFU,Early May,0.237,0.75,0.005,0.005,0.005,0.75
GR107,Green,Eelgrass,GASU/GAFU,Early May,0.337,0.005,0.005,0.75,0.005,0.75
GR108,Green,Eelgrass,GASU/GAFU,Early May,0.356,0.005,0.005,0.995,0.005,0.995
GR109,Green,Eelgrass,BASU/BAFU,Early July,0.43,0.005,0.005,0.005,0.005,0.005
GR11,Green,Eelgrass,BASU/BAFU,Late April,0.779,0.75,0.005,0.005,0.005,0.75
GR110,Green,Eelgrass,BASU/BAFU,Early July,0.219,0.005,0.995,0.005,0.005,0.005
GR111,Green,Eelgrass,GASU/GAFU,Mid June,0.163,0.005,0.005,0.005,0.005,0.005
GR112,Green,Eelgrass,GASU/GAFU,Mid June,0.417,0.005,0.005,0.995,0.005,0.995
GR113,Green,Eelgrass,BASU/BAFU,Mid June,0.238,0.995,0.005,0.005,0.005,0.995
GR114,Green,Eelgrass,BASU/BAFU,Early May,0.292,0.5,0.5,0.005,0.005,0.5
GR115,Green,Eelgrass,GASU/GAFU,Early May,0.32,0.005,0.005,0.005,0.995,0.005
GR116,Green,Eelgrass,GASU/GAFU,Early May,0.414,0.005,0.005,0.5,0.005,0.5
GR117,Green,Eelgrass,BASU/BAFU,Mid June,0.205,0.995,0.005,0.005,0.005,0.995
GR118,Green,Eelgrass,BASU/BAFU,Early May,0.333,0.25,0.5,0.005,0.005,0.25
GR119,Green,Eelgrass,GASU/GAFU,Early August,0.212,0.005,0.005,0.995,0.005,0.995
GR12,Green,Eelgrass,BASU/BAFU,Late April,1.464,0.5,0.005,0.005,0.005,0.5
GR120,Green,Eelgrass,GASU/GAFU,Early May,0.173,0.005,0.005,0.995,0.005,0.995
GR121,Green,Eelgrass,BASU/BAFU,Early May,0.137,0.995,0.005,0.005,0.005,0.995
GR122,Green,Eelgrass,BASU/BAFU,Mid June,0.262,0.995,0.005,0.005,0.005,0.995
GR13,Green,Eelgrass,GASU/GAFU,Late April,0.555,0.005,0.005,0.005,0.005,0.005
GR14,Green,Eelgrass,GASU/GAFU,Late April,0.403,0.005,0.005,0.25,0.005,0.25
GR15,Green,Eelgrass,BASU/BAFU,Early May,0.376,0.995,0.005,0.005,0.005,0.995
GR16,Green,Eelgrass,BASU/BAFU,Early May,0.526,0.75,0.005,0.005,0.005,0.75
GR17,Green,Eelgrass,GASU/GAFU,Early May,0.475,0.005,0.005,0.75,0.005,0.75
GR18,Green,Eelgrass,GASU/GAFU,Early May,0.658,0.005,0.005,0.005,0.005,0.005
GR19,Green,Eelgrass,BASU/BAFU,Early May,0.299,0.995,0.005,0.005,0.005,0.995
GR20,Green,Eelgrass,BASU/BAFU,Early May,0.504,0.005,0.995,0.005,0.005,0.005
GR21,Green,Fucus,GASU/GAFU,Early May,0.458,0.005,0.005,0.75,0.25,0.75
GR22,Green,Fucus,GASU/GAFU,Early May,0.793,0.005,0.005,0.75,0.25,0.25
GR23,Green,Fucus,BASU/BAFU,Early May,0.603,0.333333333,0.333333333,0.005,0.005,0.333333333
GR23B,Green,Eelgrass,GASU/GAFU,Early May,0.781,0.005,0.005,0.5,0.005,0.5
GR24,Green,Fucus,BASU/BAFU,Early May,0.644,0.666666667,0.005,0.005,0.005,0.005
GR24B,Green,Eelgrass,GASU/GAFU,Early May,0.532,0.005,0.005,0.995,0.005,0.995
GR25,Green,Fucus,GASU/GAFU,Early May,1.102,0.005,0.005,0.25,0.25,0.25
GR26,Green,Fucus,GASU/GAFU,Early May,1.084,0.005,0.005,0.75,0.005,0.005
GR27,Green,Fucus,BASU/BAFU,Mid June,0.301,0.75,0.005,0.005,0.005,0.005
GR28,Green,Fucus,BASU/BAFU,Mid June,0.202,0.005,0.005,0.005,0.005,0.005
GR29,Green,Fucus,GASU/GAFU,Mid June,0.26,0.005,0.005,0.75,0.25,0.25
GR3,Green,Eelgrass,BASU/BAFU,Late April,1.652,0.5,0.005,0.005,0.005,0.5
GR30,Green,Fucus,GASU/GAFU,Mid June,0.411,0.005,0.005,0.005,0.995,0.995
GR31,Green,Fucus,BASU/BAFU,Mid June,1.464,0.005,0.995,0.005,0.005,0.995
GR32,Green,Fucus,BASU/BAFU,Mid June,0.43,0.995,0.005,0.005,0.005,0.005
GR33,Green,Fucus,GASU/GAFU,Mid June,0.596,0.005,0.005,0.005,0.995,0.995
GR34,Green,Fucus,GASU/GAFU,Mid June,0.45,0.005,0.005,0.005,0.995,0.995
GR35,Green,Fucus,BASU/BAFU,Mid June,1.43,0.005,0.75,0.005,0.005,0.75
GR36,Green,Fucus,BASU/BAFU,Mid June,1.312,0.75,0.005,0.005,0.005,0.005
GR37,Green,Fucus,GASU/GAFU,Mid June,0.584,0.005,0.005,0.005,0.995,0.995
GR38,Green,Fucus,GASU/GAFU,Mid June,0.261,0.005,0.005,0.75,0.005,0.005
GR39,Green,Fucus,BASU/BAFU,Mid June,0.265,0.75,0.005,0.005,0.005,0.005
GR4,Green,Eelgrass,BASU/BAFU,Late April,1.1,0.25,0.5,0.005,0.005,0.25
GR40,Green,Fucus,BASU/BAFU,Mid June,0.26,0.995,0.005,0.005,0.005,0.995
GR41,Green,Fucus,GASU/GAFU,Mid June,0.821,0.005,0.005,0.25,0.75,0.75
GR42,Green,Fucus,GASU/GAFU,Mid June,1.146,0.005,0.005,0.005,0.995,0.995
GR43,Green,Fucus,BASU/BAFU,Early July,1.151,0.75,0.25,0.005,0.005,0.25
GR44,Green,Fucus,BASU/BAFU,Early July,0.376,0.5,0.25,0.005,0.005,0.25
GR45,Green,Fucus,GASU/GAFU,Mid June,0.821,0.005,0.005,0.75,0.005,0.005
GR46,Green,Fucus,GASU/GAFU,Mid June,0.452,0.005,0.005,0.75,0.25,0.25
GR47,Green,Fucus,BASU/BAFU,Early May,0.471,0.5,0.25,0.005,0.005,0.25
GR48,Green,Fucus,BASU/BAFU,Early May,0.686,0.75,0.005,0.005,0.005,0.005
GR49,Green,Eelgrass,BASU/BAFU,Early July,1.148,0.005,0.995,0.005,0.005,0.995
GR5,Green,Eelgrass,GASU/GAFU,Late April,1.376,0.005,0.005,0.995,0.005,0.995
GR50,Green,Eelgrass,BASU/BAFU,Early July,0.188,0.005,0.995,0.005,0.005,0.005
GR6,Green,Eelgrass,GASU/GAFU,Late April,1.091,0.005,0.005,0.25,0.005,0.25
GR7,Green,Eelgrass,BASU/BAFU,Late April,0.469,0.005,0.995,0.005,0.005,0.005
GR8,Green,Eelgrass,BASU/BAFU,Late April,0.846,0.25,0.005,0.005,0.005,0.25
GR9,Green,Eelgrass,GASU/GAFU,Late April,0.195,0.005,0.005,0.995,0.005,0.995
GR99,Green,Eelgrass,GASU/GAFU,Early August,0.378,0.005,0.005,0.005,0.995,0.005
